sku,order_count,weighted_order_count,degree,weighted_degree
0574026,1,0.03044659378416016,1,0.22924815829221062
0574089,1,0.5276013008742927,0,0.0
0579447-B,1,0.0003519482725578812,1,0.5909030540791892
0579447-P,1,0.00036001530088552075,0,0.0
0579552,1,0.0006341278560100726,0,0.0
0579553,1,0.5349272370921859,0,0.0
0579699,1,0.0006968172586661938,2,1.1134264146661452
0579701,1,0.000308418672316646,0,0.0
0579763,1,0.00039242955917205726,0,0.0
0579773,1,0.005168827530511686,0,0.0
0579774,1,0.004581807365660602,2,1.0446634017885759
0579806,1,0.0003600170879983394,0,0.0
0579846,2,0.08809652528230326,6,2.8742370125491807
0579950,3,0.009595119078376794,1,0.12760911151057155
0579984,1,0.005037681048671655,0,0.0
0579986,2,0.015207606106417217,0,0.0
0579988,1,0.007852256017281138,1,0.622971436559676
0580074,1,0.01600565137355007,0,0.0
0580076,1,0.5462090161245539,0,0.0
0581440,2,0.02142188430176172,0,0.0
0581900,1,0.00031315895703073804,0,0.0
0582182,1,0.014531557683887511,0,0.0
0584001,1,0.005365567976002049,0,0.0
0584032-GN,1,0.005330707932878095,2,2.0
0584032-GY,1,0.005330707932878095,2,2.0
0584032-PI,1,0.005330707932878095,2,2.0
0584049-B,1,0.0014899415418331886,0,0.0
0584049-G,1,0.0020653692481180656,0,0.0
0584056,2,0.00972401214159206,1,0.44887763744050363
0584058,1,0.07827305383608946,0,0.0
0584348,1,0.06446331607575541,0,0.0
0584349,1,0.08799801088613365,0,0.0
0584350,1,0.0012933992783278644,0,0.0
0584485,1,0.005190249869631603,0,0.0
0584486,2,0.010008959436962062,3,1.6196372297343948
0584519,1,0.01991542885789583,0,0.0
0584520,1,0.03261088752479826,0,0.0
0584557-BG,1,0.08621446139343453,7,6.153497798208338
0584557-GG,2,0.1760693916771051,7,4.516058423151955
0584557-PB,2,0.15469087213204835,7,4.7830953572775154
0584557-SS,1,0.18026625449914457,0,0.0
0584561-DN,1,0.011744082872420868,0,0.0
0584561-LF,1,0.01225425486591463,2,1.0114766552547185
0584561-MT,1,0.00539315641026993,0,0.0
0584578,1,0.005051271478519583,1,0.7104048053597992
0584641,1,0.017033904867308765,0,0.0
0584642,1,0.07594752330322116,0,0.0
0584701,1,0.04966493025403798,0,0.0
0584703,1,0.005551075782005407,0,0.0
0584704,1,0.08424316282676338,1,1.0
0584711-BU,3,0.029772218912033188,6,2.1097192643755847
0584711-GN,5,0.06156040412195399,2,0.9629421391181203
0584711-PI,3,0.034256973711423416,5,1.4452305466817803
0584729,1,0.004757121658655555,0,0.0
0584730,2,0.02819235622961589,2,1.231546463651273
0584978,1,0.049512521914885914,1,1.0
0584979,1,0.020136481911813473,1,0.9372619644342259
0584982,1,0.031480649320276215,0,0.0
0584985,2,0.053155100430308536,2,1.8135803372294783
0584995,2,0.04737787756703899,0,0.0
0585032,1,0.8155376121526993,8,6.582080277627629
0585078,2,0.1625489699754274,0,0.0
0585085,1,0.020922211686409987,0,0.0
0585093,1,0.049512521914885914,1,1.0
0585094,2,0.1100185028742261,2,0.8873031939590952
0585105,1,0.03224520684853988,0,0.0
0585110,1,0.02798441298058915,0,0.0
0585204-B,1,0.15284005184028354,0,0.0
0620620,1,0.9084592536710895,10,9.260610344693472
0620628,1,0.8206976957596528,0,0.0
0620701,1,0.00641640280873068,4,2.604417016556193
0620706,1,0.00961308673695026,0,0.0
0621007,1,0.00018746137195965062,2,1.7064765067399772
0621008,1,0.00021196305755874612,0,0.0
0621012,1,0.00045884812488176436,3,3.0
0621092,4,0.0018608438041241937,5,2.211163219284974
0621093,1,0.0019572113212077275,3,3.0
0621094,6,0.22983338315538981,1,0.040197812548712464
0621095,1,0.00018095546200141648,6,2.2736439859518347
0621144,1,0.00012016457145150734,0,0.0
0621149,1,0.00012401525526835653,0,0.0
0621150,1,0.001958886896684817,0,0.0
0621161,2,0.0008550797755566037,0,0.0
0621162,2,0.0008903762011613708,0,0.0
0621427,2,0.0002955676542926662,0,0.0
0621465,5,0.5762690467147731,19,4.618210548429206
0621466,6,0.4958060342677475,5,0.5110318417366781
0621467,1,0.00038990075804314447,0,0.0
0621471,1,0.0003106601994068717,2,1.6280828644113383
0621473,2,0.0007875021111163362,5,2.4414121407956757
0621488,3,0.4197861207796006,3,0.3490702078681867
0621489,7,0.11448674994834603,20,3.358823742835551
0621500,1,0.0003106601994068717,2,1.6280828644113383
0621617,2,0.010756647294629305,2,0.10767019526529689
0621625,1,0.003914720654790411,2,1.1178286963236146
0621720,3,0.3455805637419346,2,0.2199103120167208
0621760,2,0.025356357712126007,1,0.6972397773499718
0621776,1,0.00828643842172926,0,0.0
0621784,1,0.008508155304738465,1,0.5934422565801937
0621785,3,0.024158973305978444,3,1.2219290111413776
0621799,1,0.00641640280873068,4,2.604417016556193
0621801,1,0.007468394642708751,3,2.0197633686852114
0621802,1,0.006204422891116387,1,0.8067871569417274
0621803,1,0.008824774653445151,1,1.0
0621817,6,1.6137671281516508,4,0.440366391453028
0621818,1,0.03451421633058557,2,0.6020505311974935
0621833,2,0.6906099622644081,0,0.0
0621849,2,0.25773030939558383,1,0.41673210136390426
0621850,3,0.37963968580186713,2,0.6477358007546177
0621906,1,0.027455354719737597,0,0.0
0621944,1,0.0019380337566621297,1,1.0
0621948,1,0.0019380337566621297,1,1.0
0621949,1,0.004742572913106368,1,0.6760667260556025
0621966,7,0.692840392868983,14,2.559164740008446
0622041,3,0.04096173227900485,1,0.1853295955597951
0622048,1,0.012326823594666265,1,0.6972397773499718
0622051,1,0.17116243705236978,0,0.0
0622120,1,0.5009545210633847,1,1.0
0622123,1,0.5009545210633847,1,1.0
0622173,1,0.4573216780438901,1,0.07286356051976145
0622290,2,0.14752199990930526,3,0.9457675418926149
0622291,1,0.12691009934693434,0,0.0
0622326,1,0.028773756797064908,2,0.5596909144117246
0622327,2,0.11445174637648516,4,1.827970057316777
0622328,2,0.09816061280363785,4,1.9471459029156908
0622329,1,0.04035763407993148,2,1.3021845134415826
0622341,2,0.4185595343015116,2,0.5863631453582145
0622342,1,0.08621446139343453,7,6.153497798208338
0622344,1,0.09918834521500734,1,1.0
0622388,1,0.12433289033380779,1,0.6939026850357047
0622404-B,1,0.031329644415180276,2,1.2139249038538518
0622405,3,0.7908954866557426,0,0.0
0622406,1,0.031329644415180276,2,1.2139249038538518
0622455,1,0.05842214238901132,0,0.0
0622705,2,1.2175384897184034,0,0.0
0622706,2,0.2540622335800016,0,0.0
0622714-C,1,0.49595571251932835,1,0.24114999610045615
0622714-D,1,0.5011963201422857,1,0.8961213135663009
0622721,2,0.25664168519742725,0,0.0
0622743,1,0.29101661895152214,1,0.4619333580295598
0622748,1,0.15561837262005818,0,0.0
0622863,1,0.12452969882590026,0,0.0
0622905-GN,1,0.134861821634241,0,0.0
0646532,1,0.04856774213818285,3,1.9300706631522302
0646801,1,0.4334697871685947,0,0.0
0646939,1,0.345352915029618,0,0.0
0658241,1,0.00016331569606308117,0,0.0
0658243,3,0.0005478520580271258,3,0.5500951069519258
0658244,1,0.00020638711216376085,0,0.0
0658261,1,0.01067187680833589,2,1.8671377022696005
07-1401,1,0.0004948483502260406,6,5.9170473046579275
08-180015D,2,0.001591741143272253,3,1.209032718967814
08511,1,0.0023309770545606847,3,2.914876078383419
08517,1,0.0023309770545606847,3,2.914876078383419
08540,1,0.0004920829204718659,3,1.5163163918891114
099000041,1,0.002364616480319355,0,0.0
099000306,2,0.002822783151274542,0,0.0
1.F2308,5,2.8405611815166605,1,0.21423326944112084
1000-14504,1,0.01929902925460398,2,1.2428556667397468
100018,2,0.7852240811068478,11,3.7415162664486554
10019-02,1,0.6900536934756553,0,0.0
10019-09,1,0.526463356756386,0,0.0
100301000,1,0.08748414265328983,3,2.7051559730528756
100301010,1,0.00213518580037683,7,4.632431747330252
100422,1,0.26365744383149053,8,6.517405794394668
100425,1,0.000701988774931344,4,0.6508381750752995
10050590009,1,0.004295228859155292,0,0.0
100523,2,0.054716259206368065,4,2.1081775822961926
100524,1,0.002136993744740678,1,0.942735864075282
100541,2,0.12712637460695966,3,1.5959511932868002
100544,1,0.00042449249156351103,3,1.9087824464828085
100556,1,0.00047541144095983713,10,6.537689408545883
100570,1,0.0004605187062056664,3,2.192988876679964
100576,2,0.00036840632340490236,9,5.995857727931445
100707,1,0.0002549131231487793,1,1.0
100712,1,0.14118595583343566,1,0.9980333470883871
100713,1,0.000318982329528796,3,0.8658772492644577
