model,order_id,seed_sku,target_sku,held_out_basket_size,target_train_orders,popularity_segment,target_rank,hit_at_k,reciprocal_rank_at_k,target_in_candidates,target_in_retrieved_pool,retrieved_candidate_count,top_prediction,top_k_skus
logistic_ranker,52400,IT8905,520129,2,2,rare,214,0,0.0,0,1,1265,DT760018963,DT760018963 | GNY95 | 176-09057 | EN070857 | IT9204 | NQD4WD06-RED | MS0301Ryabinka | ΙΤ17253 | UGD010596 | MS0502bw-06
logistic_ranker,52405,G36929,50-20210,2,3,medium,14,0,0.0,1,1,1344,lr05313,lr05313 | 4-05608 | MAP861311 | lr08951 | 0570926 | ΒΚΜ13918 | 292-87509 | 348-17220 | lr5315 | 819-94840
logistic_ranker,52410,HGX01,HJR70,2,1,rare,18,0,0.0,1,1,1286,DT760018963,DT760018963 | S616400 | FXC66 | GRF09 | 760018651-M | 760018651-C | FGJ11 | GFX87 | GNY95 | W4472
logistic_ranker,52424,IT16952,IT16951,2,138,popular,3,1,0.3333333333333333,1,1,1303,DT760018963,DT760018963 | ΙΤ17253 | IT16951 | 176-09057 | GNY95 | IT9204 | UGD010596 | 262-3002 | MS0301Ryabinka | MS0503LyPM-07
logistic_ranker,52429,4-05113,GWT24,2,1,rare,0,0,0.0,0,0,1318,IT16951,IT16951 | EN088996 | GNY95 | 4-04148 | DT10757 | UGD010596 | 10390010013 | 10390150003 | 0584711-GN | UGD010586
logistic_ranker,52434,IT14104,IT9002,2,10,medium,0,0,0.0,0,0,1300,348-17220,348-17220 | 343-02144 | GHP85 | 571-59204 | KON949801 | 0021780 | GNY95 | MAP851730 | MAP015802 | 335-69054
logistic_ranker,52450,570-92231-02,779-90246,2,1,rare,1034,0,0.0,0,1,1261,0021780,0021780 | MAP861311 | 343-02144 | 776-77238 | 0570926 | 333-05141 | IT14185 | NC5503 | 335-69054 | 344-21073
logistic_ranker,52457,MAP852001,IT16951,3,138,popular,0,0,0.0,0,0,1300,0021780,0021780 | MAP861311 | 348-17220 | 333-26141 | 333-26031 | GHP85 | 343-02144 | 333-26074 | 571-59204 | 0500991
logistic_ranker,52496,BXS-IC-B-S3,EGB56703,3,2,rare,112,0,0.0,0,1,1273,DT760018963,DT760018963 | GHP85 | 357-06031 | 0570926 | KON161753 | 0570895 | 0585085 | 334-80100 | 334-91031 | 339-39031
logistic_ranker,52513,IT8905,ΜΕΤ82092,4,2,rare,0,0,0.0,0,0,1265,DT760018963,DT760018963 | GNY95 | 176-09057 | EN070857 | IT9204 | NQD4WD06-RED | MS0301Ryabinka | ΙΤ17253 | UGD010596 | MS0502bw-06
logistic_ranker,52515,820-62607,54886,2,5,medium,121,0,0.0,0,1,1075,IT16951,IT16951 | LT-006 | IT16952 | ΙΤ17253 | 262-3002 | DT10757 | UGD010069 | 0621966 | 820-27194 | 20106636
logistic_ranker,52517,820-62607,54886,2,5,medium,121,0,0.0,0,1,1075,IT16951,IT16951 | LT-006 | IT16952 | ΙΤ17253 | 262-3002 | DT10757 | UGD010069 | 0621966 | 820-27194 | 20106636
logistic_ranker,52518,IT16951,MAP907039,2,2,rare,0,0,0.0,0,0,1309,DT760018963,DT760018963 | ΙΤ17253 | 176-09057 | IT9204 | 262-3002 | GNY95 | UGD010596 | MS0503LyPM-07 | MS0301Ryabinka | 0562691
logistic_ranker,52536,IT16951,IT8905,2,18,popular,1027,0,0.0,0,1,1309,DT760018963,DT760018963 | ΙΤ17253 | 176-09057 | IT9204 | 262-3002 | GNY95 | UGD010596 | MS0503LyPM-07 | MS0301Ryabinka | 0562691
logistic_ranker,52537,IT16951,IT16952,2,46,popular,13,0,0.0,1,1,1309,DT760018963,DT760018963 | ΙΤ17253 | 176-09057 | IT9204 | 262-3002 | GNY95 | UGD010596 | MS0503LyPM-07 | MS0301Ryabinka | 0562691
logistic_ranker,52548,ΜΕΤ81837,ΒΑΣΙΛ/Μ003,2,1,rare,987,0,0.0,0,1,1298,ΜΙΝ04122,ΜΙΝ04122 | DT10757 | ΜΕΤ81862 | 333-26141 | LT-006 | 0584730 | 329202 | ΒΚΜ13918 | 333-26031 | ΚΑΠΛΑ/Μ001
logistic_ranker,52552,IT16952,IT16951,2,138,popular,3,1,0.3333333333333333,1,1,1303,DT760018963,DT760018963 | ΙΤ17253 | IT16951 | 176-09057 | GNY95 | IT9204 | UGD010596 | 262-3002 | MS0301Ryabinka | MS0503LyPM-07
logistic_ranker,52555,POL1839,ΜΕΤ82301,2,2,rare,0,0,0.0,0,0,1247,GHP85,GHP85 | DT10757 | UGD010596 | 760018651-C | 16/81205 | 760018651-M | UGD010586 | 23-1907B | MAP851730 | 262-3002
